,cleaned_text,sentiment,stats,comments,retweets,quotes,likes
0,today is the day tupatane blankets courtesy of dont miss the blankets and wine event today come lets enjoy tusker cider welivefortaste buy 2 6 pack tusker cider to get a ticket tupataneblankets,Positive,"Oct 6, 2023 · 2:51 PM UTC",0,3,0,2
1,you should see these free online certifications python javascript data science customerserviceweek2023 csweek2023 teamservice mondaymotivation welivefortaste get luofest tickets happy new month iphone,Positive,"Oct 2, 2023 · 5:55 PM UTC",1,0,0,4
2,you should learn data analysis here are the data analysis tools 1 microsoft excel 2 python 3 r 4 jupyter notebook 5 apache spark 6 sas 7 microsoft power bi 8 tableau 9 knime customerserviceweek2023 csweek2023 teamservice mondaymotivation welivefortaste get luofest tickets happy new month iphone,Positive,"Oct 2, 2023 · 5:51 PM UTC",1,0,0,3
3,kustretch kidogo apa na pale then nirudi kudanganya wapoa wenu pale dm helb scam mariestopeskilimani mondaymotivation welivefortaste teamservice csweek2023 akothee,Negative,"Oct 2, 2023 · 4:54 PM UTC",0,0,0,0
4,customerserviceweek akothee mondaymotivation happy new month kesh teamservice welivefortaste taxpayersmonth2023,Positive,"Oct 2, 2023 · 10:40 AM UTC",0,0,0,1
5,how do you guys say to someone you love them without making it sound funny  customerserviceweek akothee mondaymotivation happy new month kesh teamservice welivefortaste taxpayersmonth2023 kesh,Positive,"Oct 2, 2023 · 10:20 AM UTC",0,0,0,0
6,welivefortaste tupataneblankets,Neutral,"Oct 2, 2023 · 6:59 AM UTC",0,0,0,0
7,is your website in need of a makeover our expert team at interactive web solutions can transform your online presence with our topnotch web design services dont settle for less choose the best webdevelopment websitedesign mondaymotivation welivefortaste shorts,Positive,"Oct 2, 2023 · 6:55 AM UTC",0,0,0,0
8,new afrobeats song watch and subscribe ikikubamba like mikeandkingangi breko paysiitompesa paysii app happy new month ole sapit daybreak kesh welivefortaste kibera liverpool eldoret blessed sunday buy 2 6 tusker cider canelo atalanta evans,Positive,"Oct 2, 2023 · 5:08 AM UTC",0,0,0,2
9,leo ndio ile siku blankets and wine event anza mwezi na energy buy 2 6 pack tusker cider to get a ticket and mko wapi msikose sherehe grab yourself a cold tusker cider and enjoy the night away welivefortaste tupataneblankets,Positive,"Oct 2, 2023 · 2:56 AM UTC",0,1,0,1
10,after a successful week of ward representative applications here is the list of the aspirantsmeyaca meyacaelections youthswestandtogether unifiedwesucceed welivefortaste tupataneblankets,Positive,"Oct 1, 2023 · 10:45 PM UTC",0,0,0,2
11,watuuu today is the day blankets and wine event is finally happening at the moi international sports centre kasarani lets turn up and enjoy tusker cider tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 9:49 PM UTC",0,0,0,0
12,today is the day tupatane blankets buy 2 6 pack tusker cider to get a ticket enjoy tusker cidar the best drink in town jipatie yakotupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 9:38 PM UTC",0,1,0,2
13,today is the day tupatane blankets buy 2 6 pack tusker cider to get a ticket enjoy tusker cidar the best drink in town jipatie yakotupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 9:36 PM UTC",0,0,0,1
14,todaythe blankets and wine event is happening buy two 6 pack of tusker cider to get a ticket tupataneblankets welivefortaste,Neutral,"Oct 1, 2023 · 9:16 PM UTC",0,2,0,3
15,today is the day tupatane blankets courtesy of dont miss the blankets and wine event today come lets enjoy tusker cider welivefortaste buy 2 6 pack tusker cider to get a ticket tupataneblankets,Positive,"Oct 1, 2023 · 9:07 PM UTC",0,1,0,1
16,today is the day tupatane blankets tufike kwa wingi remember buy 2 6 pack tusker cider to get a ticket tupataneblankets welivefortaste,Neutral,"Oct 1, 2023 · 9:07 PM UTC",0,1,0,1
17,my peep today 1st oct 2023 is the dday the awesome blankets and wine is going doown tupataneblankets courtesy of  entrance is two 6 pack tusker cider welivefortaste dont miss out its superb,Positive,"Oct 1, 2023 · 9:03 PM UTC",0,0,0,0
18,tupataneblankets event is going down courtesy of remember to buy 2 6 pack tusker cider to get your ticket you dont wanna miss this welivefortaste welivefortaste,Positive,"Oct 1, 2023 · 9:01 PM UTC",0,0,0,1
19,guys leo tupatane blankets courtesy of  come uenjoy your favorite drink tusker cider hapa buy 2 6 pack tusker cider and get a ticket welivefortaste tupataneblankets enjoy tusker cider,Positive,"Oct 1, 2023 · 8:59 PM UTC",0,1,0,2
20,the much awaited blankets  wines event is happening today 1st october 2023 kujeni tuenjoy the deliciously crisp premiumcrafted  refreshing tusker cider buy a 2 6pack tusker cider for a ticket tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:54 PM UTC",0,0,0,0
21,welivefortaste today is the day tupatane blanketsbuy 2 6 pack tusker cider to get a ticket lets turn up we enjoy tusker cider today tupataneblankets,Positive,"Oct 1, 2023 · 8:46 PM UTC",0,0,0,1
22,the much awaited blankets  wines event is happening today 1st october 2023 kujeni tuenjoy the deliciously crisp premiumcrafted  refreshing tusker cider buy a 2 6pack tusker cider for a ticket tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:35 PM UTC",0,0,0,1
23,fresh vybez and moments is happening today courtesy of brand tusker cider buy two 6pack cider to gain access to the premium blankets and wines party proudly brought to you by tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:30 PM UTC",0,0,0,0
24,october is finally here with us hii lazma turn up shikisha packo mbili za tusker cider 6 pack ili uweze kuingia blankets and wines party pale laureate gardenskasarani tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:29 PM UTC",0,1,0,2
25,tusker cider is a quality drink tupataneblankets  wine event  buy 2 6 pack tusker cider  get a ticket welivefortaste guys dont miss this,Positive,"Oct 1, 2023 · 8:25 PM UTC",0,1,0,1
26,leo ni leo tupatane blankets and enjoy tusker cider drink all you have to do is buy 2 6 pack tusker cider to get a ticket lets get turn up na tusker cider tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:21 PM UTC",0,0,0,1
27,wasee today is the day its going down tupataneblankets and witness it all because welivefortaste grab yourself a ticket by buying 2 6pack tusker cider you dont wanna miss the experience,Positive,"Oct 1, 2023 · 8:21 PM UTC",0,0,0,0
28,october tunaanza na sherehe wadau hii lazima tufike just buy 2 6pack tusker cider to gain access to the premium blankets and wines party by pale laureate gardenskasarani tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:19 PM UTC",0,0,0,1
29,you should try these online business ideas 1 ebooks 2 online courses 3 social media management 4 selling on marketplaces 5 start a membership site or community insidedrugcountry bbnaijaallstars tupataneblankets sundaylive welivefortaste,Neutral,"Oct 1, 2023 · 8:13 PM UTC",0,0,0,9
30,come at the tupataneblankets experience the great tasting cider serves  amazing performances welivefortaste,Positive,"Oct 1, 2023 · 8:09 PM UTC",0,0,0,1
31,wangwana its new month na ni greatness tupucourtesy of brand tusker cider buy 2 6pack cider to gain access to the premium blankets and wines party proudly brought to you by tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:09 PM UTC",0,1,0,1
32,yoh siku ni leo manzee tupataneblankets event is going down courtesy of remember to buy 2 6 pack tusker cider to get your ticket you dont wanna miss this welivefortaste welivefortaste,Positive,"Oct 1, 2023 · 8:06 PM UTC",0,0,0,1
33,miezi ya kupiga sherehe imeanza wadau hii lazima tufike leo easy just buy 2 6pack tusker cider to gain access to the premium blankets and wines party by pale laureate gardenskasarani tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 8:03 PM UTC",0,0,0,3
34,leo ndio ile siku blankets and wine event anza mwezi na energy buy 2 6 pack tusker cider to get a ticket grab yourself a cold tusker cider and enjoy the night away welivefortaste tupataneblankets,Positive,"Oct 1, 2023 · 8:02 PM UTC",0,2,0,2
35,wakuu ni leo tupataneblankets just buy 2 6 pack of tuskercider to get a ticketits an epic event courtesy of blankets and wines msikose tujibambe welivefortaste,Positive,"Oct 1, 2023 · 8:02 PM UTC",0,0,0,1
36,you should learn the 503020 budgeting rule 50 for your needs 30 for wants 20 towards savingsinvesting insidedrugcountry bbnaijaallstars tupataneblankets sundaylive welivefortaste faith kipyegon liverpool,Positive,"Oct 1, 2023 · 8:01 PM UTC",0,0,0,1
37,the diiday its going down and definitely want to be part of the greatness tupataneblankets and witness it all because welivefortaste grab a ticket by buying 2 6pack tusker cider amazing see you there welivefortaste,Positive,"Oct 1, 2023 · 8:00 PM UTC",0,0,0,1
38,wakuuthe much awaited blankets  wines event is happening today 1st october 2023 kujenienjoy the deliciously crisp premiumcrafted  refreshing tusker cider buy a 2 6pack tusker cider for a ticket tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 7:59 PM UTC",0,1,0,2
39,october it isyou dont wanna miss this out the blankets and wine event is happening today and your tusker cider is ready buy 2 6 pack tusker cider to get a ticket today is the day tupatane blankets tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 7:57 PM UTC",0,0,0,0
40,unwinding with a tusker cider after a long day is pure bliss join the welivefortaste and experience the magic blanketswine is happening on 1st octthe event is today are you ready buy 2 6 pack tusker cider to get a ticket tupataneblankets,Positive,"Oct 1, 2023 · 7:57 PM UTC",0,3,0,3
41,leo ndo ile sikw its going down and definitely want to be part of the greatness tupataneblankets and witness it all because welivefortaste grab a ticket by buying 2 6pack tusker cider amazing,Positive,"Oct 1, 2023 · 7:57 PM UTC",0,0,0,2
42,watu wangu today is the day tupatane blankets get your tickets or buy two 6 pack tusker cider  1st october ebu tuchangamke tufike majamaa this is a nice brand tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 7:56 PM UTC",0,0,0,1
43,tuko huku blankets and wine event mko today is the day tupatane blankets enjoyment hapa pale na tusker cider tupataneblankets welivefortaste,Positive,"Oct 1, 2023 · 7:55 PM UTC",0,5,0,8
