,cleaned_text,sentiment,stats,comments,retweets,quotes,likes
0,guys do you remember shaffie weru dj joe mfalmeneville musya was fired from home boys radio coz they warned ladies about what happened to starlet wahu pastor kanyari sizeabl got mad coz of the same if ladies listened likes of john matara couldnt be there,Negative,"Jan 7, 2024 · 4:59 AM UTC",14,40,1,157
1,drilling water at kenneth matiba hospital makenji kandara  gatanga near kenol  kabati towns a free donation by eabl after the muranga county eabl partnership on sorghum thanks eabl,Positive,"Jan 9, 2024 · 5:13 PM UTC",18,29,1,194
2,kenyans wakitambua hii beer it is over for eabl,Neutral,"Jan 9, 2024 · 1:45 PM UTC",33,122,2,537
3,i thought eabl products are unwanted around the mountain,Neutral,"Jan 10, 2024 · 2:43 PM UTC",0,0,0,0
4,,Neutral,"Jan 10, 2024 · 2:39 PM UTC",0,0,0,1
5,,Neutral,"Jan 10, 2024 · 10:50 AM UTC",0,0,0,0
6,unajua sai amafanya eabl anaweza tupea a years supply ya balozi na singleton kama yobra wewe unapepeta tutablockiwa bana,Neutral,"Jan 10, 2024 · 10:12 AM UTC",1,0,0,0
7,,Neutral,"Jan 10, 2024 · 9:56 AM UTC",1,1,0,5
8,eabl have done the thingexpect changes to prices of white cap guinness and tusker cider,Neutral,"Jan 10, 2024 · 9:30 AM UTC",0,0,0,0
9,,Neutral,"Jan 10, 2024 · 9:25 AM UTC",0,0,0,0
10,talk to eabl mchukuwe tusker fc change the name to tusker meru fc and have them play at kinoru stadium,Neutral,"Jan 10, 2024 · 8:31 AM UTC",0,0,0,0
11,,Neutral,"Jan 10, 2024 · 8:30 AM UTC",0,0,0,1
12,and is selling its beer business hustlers turning into dynasties,Neutral,"Jan 10, 2024 · 5:54 AM UTC",0,1,0,1
13,just thank for the good work  benefits to eabl juu hawatakosa sorghum when needed muranga county projects should not have partnerships  toeni hio reli iko kwa barabara and we can have to congratulate something that had been there for ages ,Positive,"Jan 10, 2024 · 5:25 AM UTC",0,0,0,1
14,eabl as usual watatumia shady business tactics to compete,Negative,"Jan 10, 2024 · 1:48 AM UTC",0,0,0,0
15,market share is a thing it would will years before they can be at par with theres also the small matter of the range of products people have different palletes catering to all of them is a tall order,Negative,"Jan 9, 2024 · 7:50 PM UTC",0,0,0,0
16,na ati cs wa maji alikuwa wa huko na mnategemea eabl,Neutral,"Jan 9, 2024 · 6:22 PM UTC",0,0,0,0
17,eabl will do what they do best in such scenario remember what they did to tabitha,Positive,"Jan 9, 2024 · 5:23 PM UTC",0,0,0,4
18,thanks so much for the mention,Positive,"Jan 9, 2024 · 5:19 PM UTC",0,0,0,4
19,296fb  im followin u  im full blue dem resister please  me  resisters listd here 2  ,Positive,"Jan 9, 2024 · 1:12 PM UTC",6,4,0,11
20, what would you say to the claim the fox folks thought hiring blondes was more important than hiring excellence,Positive,"Jan 9, 2024 · 5:07 PM UTC",1,3,0,21
21,huwa mnafikiria eabl ni kibanda lmao ,Positive,"Jan 9, 2024 · 4:47 PM UTC",0,0,0,0
22,a beautiful sable island stallion this fall when i visited sable island was curious but unafraid as we walked by me with his family those long tangled windswept manes are so amazing wildhorses,Positive,"Jan 8, 2024 · 2:31 PM UTC",2,18,0,64
23,eight days into the new year and flights carrying horses to japan for slaughter have already begun more are planned please send the letter at horseshitca to your mp asking them to support bill c355 koreanair edmontonairport,Positive,"Jan 8, 2024 · 10:22 PM UTC",7,42,4,45
24,this foal mentioned in previous post was put down on jan 6th for a dislocated right front knee the injury was recorded as acute by the blm meaning it was sustained during the roundup as of yesterday 866 wild horses have been captured and the death toll stands at 11,Positive,"Jan 8, 2024 · 6:55 PM UTC",17,85,13,66
25,aaargh my only vice is alcohol coz im not a fan of carbs and sugar without eabl id a fit babe ,Positive,"Jan 9, 2024 · 3:55 PM UTC",2,0,0,1
26,at 10 vv its too strong to rival mainstream brands at eabl with guinness at 65 and others below highly unlikely,Negative,"Jan 9, 2024 · 2:16 PM UTC",1,0,0,6
27,ko sasa mura tatu  eabl wamebaki kwa ndimu,Neutral,"Jan 9, 2024 · 1:49 PM UTC",0,0,0,2
28,gov rotich achenge tu industrial park then lease to eabl naona kuna talents huku  kutengeneza kuuza kukunywa talantahela,Neutral,"Jan 9, 2024 · 7:39 AM UTC",0,0,0,1
29,so eabl should sponsor rugby but not sell their products,Neutral,"Jan 9, 2024 · 6:33 AM UTC",0,0,0,0
30,thats how we pay for rugby in this country  eabl and other sponsors fire yourself if you dont have any good ideas,Positive,"Jan 9, 2024 · 6:21 AM UTC",0,0,0,0
31,and those eyes  positively road maps half the time,Positive,"Jan 9, 2024 · 6:07 AM UTC",0,0,0,1
32,sad but very true,Negative,"Jan 9, 2024 · 6:06 AM UTC",0,0,0,2
33,remember that the next time youre tempted to help with an insurrection andy,Neutral,"Jan 9, 2024 · 6:03 AM UTC",0,0,0,0
34,ewan platford 64 shooting guardpoint guard 66 wingspan 36vertical 34gpa nextuprecruitment top 40 recruit played in the eabl 10ppg 52rpg 25apg 22steals 05blocks 35 from 3,Positive,"Jan 9, 2024 · 12:30 AM UTC",0,1,0,1
35,your turn is coming andy too bad you didnt get that pardon you asked for,Negative,"Jan 9, 2024 · 3:08 AM UTC",0,0,0,0
36,nice guy trying to grift off her death,Positive,"Jan 9, 2024 · 3:04 AM UTC",1,0,0,1
37,i think hes lying how else can he pay all those tuition bills he was going on about,Neutral,"Jan 9, 2024 · 2:53 AM UTC",0,0,0,0
38,says the woman who thinks the civil war was basically how government was going to run the freedoms and what people could and couldnt do i think bidens speech was perfectly appropriate,Positive,"Jan 9, 2024 · 2:42 AM UTC",0,1,0,2
39,so daddy rambles on for an hour two hours and biden is always very concise an jr thinks joe has the drug problem,Positive,"Jan 9, 2024 · 2:36 AM UTC",1,2,0,5
40,so how does he pay all that tuition if he doesnt have a bank account,Neutral,"Jan 9, 2024 · 2:31 AM UTC",0,0,0,0
41,all federal payments including wages are made via electronic funds transfer unless doing so would present a hardship so its difficult to see how he could not have at least 1 bank account how can someone making that much money claim having an account as a hardship,Negative,"Jan 9, 2024 · 2:28 AM UTC",1,0,0,1
42,the same kind i do i guess ,Positive,"Jan 8, 2024 · 11:39 PM UTC",0,0,0,0
43,thats exactly the way i read it on first glance id say this attempt to influence my thinking was an epic fail ,Positive,"Jan 8, 2024 · 11:38 PM UTC",0,0,0,6
44,the brennan center for justice published research showing that out of the 235 million votes they checked they only found about 30 cases of potential noncitizen voting that was referred to prosecution there is no widespread voter fraud being perpetrated by illegal immigrants in the united states its a flat out lie,Negative,"Jan 8, 2024 · 7:39 PM UTC",24,145,2,515
45,fact illegal immigrants are not permitted to vote in any federal elections  president  vice president  senate  house of representatives fact zero states currently allow illegal immigrants to vote in state elections  governor  judges  state reps fact illegal immigrants can currently vote in 17 municipalities in the entire united states its up to the state to ban them from voting using their states constitution dont let the fear mongering fool you there is no massive influx of votes coming from illegal immigrants its simply not possible under our laws,Negative,"Jan 8, 2024 · 8:57 AM UTC",625,2612,83,9897
46,stefanik tells of hiding during mob attack on capitol it was very very scary,Negative,"Jan 8, 2024 · 10:30 PM UTC",1,24,4,57
47,look elise stefanik hiding from the tourists and future hostages on january 6th 2021,Neutral,"Jan 8, 2024 · 5:46 PM UTC",69,1249,97,2011
48,i just played this and my two cats went racing through the house with their tails puffed and growling looking for the intruder one of them even ran right into a piece of furniture ,Positive,"Jan 8, 2024 · 10:43 PM UTC",3,0,0,34
49,once again boris sanchez shows his colleagues how its done ashcroft can offer no evidence whatsoever that biden was involved in anything illegal but magas think that things should be accepted as true just because they say so,Negative,"Jan 8, 2024 · 10:17 PM UTC",0,0,0,2
50,this officer one of yours he shouldnt be he just manhandled a uvalde robb elementary school mother is this how you define public service,Positive,"Jan 8, 2024 · 10:12 PM UTC",0,0,0,0
51,house republicans do not want a deal on immigration they just want to play politics let me tell you im not willing to do too damn much right now to help a democrat and to help joe bidens approval rating republican rep troy nehls of texas said i will not help the democrats try to improve this mans dismal approval ratings im not going to do it,Positive,"Jan 8, 2024 · 5:02 PM UTC",89,455,16,1016
52,midseason highlightsu18premeabl u19 osarumwense fortune igumaclass of of 202564 combo guard,Neutral,"Jan 8, 2024 · 3:14 PM UTC",0,5,0,5
53, if i was a decision maker at coca cola or eabl id just return the old bottles,Positive,"Jan 7, 2024 · 6:40 PM UTC",1,3,0,7
54,after the bottle matapiko imefuata iyo chupa and unfortunately msee wa ndudhi alikuwa anapita jamaa amemwagiwa matapiko leo anaenda home akinuka eabl,Negative,"Jan 8, 2024 · 3:23 PM UTC",0,0,0,1
55,wacha nikaone my boy anunue one boor of eabls finest we strategize for the new year,Positive,"Jan 8, 2024 · 3:21 PM UTC",0,0,0,0
