,link,tweet,date,texts,sentiment
0,https://twitter.com/magniawoof/status/1746943633398419521#m,"'cause I can't make you love me if you don't you can't make your heart feel something, it won't   #украрт","Jan 15, 2024 · 5:13 PM UTC","{'comments': 0, 'retweets': 4, 'quotes': 0, 'likes': 21}",Negative
1,https://twitter.com/dmchnmeowkizzen/status/1746945431831998528#m,"та ні-ні, можете робити (⁠◕⁠ᴗ⁠◕⁠✿⁠)","Jan 15, 2024 · 5:20 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
2,https://twitter.com/dmchnmeowkizzen/status/1746918671719559178#m,"розумієте, я іноді малюю маленькі незначні скетчі і вважаю, що задля такої дрібниці використовувати гештеґ некоректно і не хочу засмічувати сам, безпосередньо, гештеґ🥲","Jan 15, 2024 · 3:34 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
3,https://twitter.com/dmchnmeowkizzen/status/1746909456581992504#m,у мене є ак для малювання @dmchn_art ііі я там викладаю малюночки по детройту з цим гештеґом І ВИ РОБИТЕ РЕПОСТИ за що я Вам ДУЖЕ вдячний🙏 /щир,"Jan 15, 2024 · 2:57 PM UTC","{'comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
4,https://twitter.com/dmchnmeowkizzen/status/1746909012031832079#m,oh no my spotify proposed me to listen to lana del ray i am sooo🎀 rn!,"Jan 15, 2024 · 2:55 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Negative
5,https://twitter.com/dmchnmeowkizzen/status/1746900233395605676#m,ахахаххааааа які вони хорошіііііі,"Jan 15, 2024 · 2:20 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
6,https://twitter.com/dmchnmeowkizzen/status/1746900161245134958#m,hi guys,"Jan 15, 2024 · 2:20 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
7,https://twitter.com/dmchnmeowkizzen/status/1746858318155391232#m,"why is himera connor even a thing, this shit scares me","Jan 15, 2024 · 11:34 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Negative
8,https://twitter.com/dmchnmeowkizzen/status/1746855228895338991#m,STOOOOOOPPPP,"Jan 15, 2024 · 11:21 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
9,https://twitter.com/dmchnmeowkizzen/status/1746850805037052186#m,THTS CRAZY,"Jan 15, 2024 · 11:04 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Negative
10,https://twitter.com/dmchnmeowkizzen/status/1746850623327219906#m,bro is cooking the nicest art in twitter why would you GTEKEEP it omggggggggg i eat it ty,"Jan 15, 2024 · 11:03 AM UTC","{'comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
11,https://twitter.com/dmchnmeowkizzen/status/1746850266974970332#m,one priv reply are you kidding me,"Jan 15, 2024 · 11:02 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
12,https://twitter.com/dmchnmeowkizzen/status/1746850154563432584#m,i willll tag you ong,"Jan 15, 2024 · 11:01 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
13,https://twitter.com/dmchnmeowkizzen/status/1746846441157308554#m,just remembered this horrific movie omg,"Jan 15, 2024 · 10:47 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Negative
14,https://twitter.com/dmchnmeowkizzen/status/1746805969269506367#m,"why connor man, i need connor woman","Jan 15, 2024 · 8:06 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
15,https://twitter.com/dmchnmeowkizzen/status/1746802653793833447#m,,"Jan 15, 2024 · 7:53 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
16,https://twitter.com/dmchnmeowkizzen/status/1746801507964477657#m,"can i,,,,, tag you under my erm,,,, art? pls say yes","Jan 15, 2024 · 7:48 AM UTC","{'comments': 5, 'retweets': 0, 'quotes': 1, 'likes': 4}",Positive
17,https://twitter.com/dmchnmeowkizzen/status/1746797257112826293#m,THANK YOU FOR 80 MILLION FOLLOWERS ‼️‼️‼️‼️💯,"Jan 15, 2024 · 7:31 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
18,https://twitter.com/dmchnmeowkizzen/status/1746796850261180921#m,IM YOUR CHILD BETWEEN TSUKASA AND Y💥💥💥,"Jan 15, 2024 · 7:29 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
19,https://twitter.com/dmchnmeowkizzen/status/1746795685251309996#m,"what about me, can i be your soulmate 🥺","Jan 15, 2024 · 7:25 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
20,https://twitter.com/dmchnmeowkizzen/status/1746795028658196907#m,KIMI*,"Jan 15, 2024 · 7:22 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
21,https://twitter.com/dmchnmeowkizzen/status/1746794739926491526#m,"mini I AM big breasted muscular long haired man,,,,","Jan 15, 2024 · 7:21 AM UTC","{'comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
22,https://twitter.com/dmchnmeowkizzen/status/1746794150228373591#m,😟😟,"Jan 15, 2024 · 7:19 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
23,https://twitter.com/dmchnmeowkizzen/status/1746671756251668973#m,good night,"Jan 14, 2024 · 11:12 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
24,https://twitter.com/dmchnmeowkizzen/status/1746621419520159844#m,congratulations you got tuberculosis,"Jan 14, 2024 · 7:52 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
25,https://twitter.com/spiralatic/status/1746321268289200514#m,When I get flustered over an edit/fic/art I start biting my iPad . I don’t know why .,"Jan 14, 2024 · 12:00 AM UTC","{'comments': 42, 'retweets': 1049, 'quotes': 193, 'likes': 8822}",Negative
26,https://twitter.com/dmchnmeowkizzen/status/1746607271981822108#m,that's hilarious,"Jan 14, 2024 · 6:56 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
27,https://twitter.com/dmchnmeowkizzen/status/1746598049822974221#m,"я мамі казав, що в мене чутливість до голосних звуків, але вона завжди кричить на мене. мовляв, її нормальний голос🥲","Jan 14, 2024 · 6:19 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
28,https://twitter.com/dmchnmeowkizzen/status/1746597298144997454#m,"sonder used to give me hope and i smiled while thinking about it, now im miserable 24/7","Jan 14, 2024 · 6:17 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
29,https://twitter.com/dmchnmeowkizzen/status/1746565482105204859#m,my class in zoom be like,"Jan 14, 2024 · 4:10 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
30,https://twitter.com/kettakujo/status/1746237353578967185#m,finding a cool artist and then seeing them post proship art,"Jan 13, 2024 · 6:26 PM UTC","{'comments': 57, 'retweets': 1440, 'quotes': 155, 'likes': 6349}",Positive
31,https://twitter.com/dmchnmeowkizzen/status/1746559395582861501#m,that's fine!,"Jan 14, 2024 · 3:46 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
32,https://twitter.com/dmchnmeowkizzen/status/1746553711130767711#m,YOU ARE MY 202ND FOLLOWER THANK YOU ILY,"Jan 14, 2024 · 3:23 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
33,https://twitter.com/dmchnmeowkizzen/status/1746553592184467951#m,😟😟,"Jan 14, 2024 · 3:23 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
