,data,text,sentiment,stats,links
8,https://twitter.com/Fahrisee/status/1743859828504641826#m,"Guys, do you remember Shaffie Weru Dj Joe Mfalme,Neville Musya was fired from Home boys radio coz they warned ladies about what happened to Starlet Wahu, Pastor Kanyari siz.EABL got mad coz of the same. If Ladies listened, likes of John Matara couldn't be there. @Fahrisee",NEGATIVE,"Jan 7, 2024 · 4:59 AM UTC","{'comments': 14, 'retweets': 40, 'quotes': 1, 'likes': 157}"
10,https://twitter.com/HonKangata/status/1744769487574847662#m,"Drilling water at Kenneth Matiba Hospital Makenji ,Kandara / Gatanga near Kenol / Kabati towns.   A free donation by EABL after the Muranga County/ EABL partnership on sorghum.   Thanks EABL",POSITIVE,"Jan 9, 2024 · 5:13 PM UTC","{'comments': 18, 'retweets': 29, 'quotes': 1, 'likes': 194}"
11,https://twitter.com/eabl2h9h22/status/1745116137187381594#m,+1ครับ,,"Jan 10, 2024 · 4:11 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
12,https://twitter.com/Osama_otero/status/1744717136726278520#m,Kenyans wakitambua hii beer it is over for EABL,NEGATIVE,"Jan 9, 2024 · 1:45 PM UTC","{'comments': 33, 'retweets': 122, 'quotes': 2, 'likes': 537}"
13,https://twitter.com/LewellaBee/status/1745094106903183762#m,I thought EABL products are unwanted around the mountain?,NEUTRAL,"Jan 10, 2024 · 2:43 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
14,https://twitter.com/eabl2h9h22/status/1745092992065552661#m,ตอบผมด้วยนะครับ,,"Jan 10, 2024 · 2:39 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
15,https://twitter.com/eabl2h9h22/status/1745083190925001108#m,ถึงหน้าบ้านในทันที55,,"Jan 10, 2024 · 2:00 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
16,https://twitter.com/eabl2h9h22/status/1745052555087073507#m,ผมๆๆๆ5,,"Jan 10, 2024 · 11:58 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
17,https://twitter.com/eabl2h9h22/status/1745035420772241883#m,ขอไอดีไลน์ครีบ,,"Jan 10, 2024 · 10:50 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
18,https://twitter.com/Mutai___/status/1745025743342469572#m,Unajua sai amafanya EABL. Anaweza tupea a years supply ya balozi na singleton kama yobra. Wewe unapepeta tutablockiwa bana,NEUTRAL,"Jan 10, 2024 · 10:12 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}"
19,https://twitter.com/Daisy1212312/status/1745021843671843327#m,ปีนี้ต้องได้เที่ยวเหนือกะอีสาน,,"Jan 10, 2024 · 9:56 AM UTC","{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 5}"
20,https://twitter.com/Githinji_Leon/status/1745015220949721330#m,"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider",NEGATIVE,"Jan 10, 2024 · 9:30 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
21,https://twitter.com/eabl2h9h22/status/1745013873785397307#m,ทักมาหน่อยนะครับ,,"Jan 10, 2024 · 9:25 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
22,https://twitter.com/Oj2545/status/1745000456424734852#m,Talk to EABL mchukuwe Tusker FC. Change the name to Tusker Meru FC and have them play at Kinoru Stadium.,NEUTRAL,"Jan 10, 2024 · 8:31 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
23,https://twitter.com/eabl2h9h22/status/1745000044338860226#m,สนใจครับ,,"Jan 10, 2024 · 8:30 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
24,https://twitter.com/NjorogeMwalimu/status/1744960816921612328#m,And @EABL_PLC is selling it's beer business. Hustlers turning into dynasties,NEUTRAL,"Jan 10, 2024 · 5:54 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}"
25,https://twitter.com/Michaelbobby254/status/1744953586465845600#m,Just thank @EABL_PLC for the good work . Benefits to Eabl juu hawatakosa sorghum when needed. Muranga county projects should not have partnerships . Toeni hio reli Iko kwa barabara and we can have to congratulate something that had been there for ages .,POSITIVE,"Jan 10, 2024 · 5:25 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
26,https://twitter.com/eddynganga_/status/1744899082663968996#m,EABL as usual watatumia shady business tactics to compete,POSITIVE,"Jan 10, 2024 · 1:48 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
38,https://twitter.com/Biggz254/status/1744808809283891661#m,Market share is a thing. It would (will) years before they can be at par with @EABL_PLC  There's also the small matter of the range of products. People have different palletes catering to all of them is a tall order.,POSITIVE,"Jan 9, 2024 · 7:50 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
