,cleaned_text,Sentiment,Stats,comments,retweets,quotes,likes
0,this just in the monthlong celebration of kenyan culture tuskeroktobafest is back  and this time its going to be bigger and better mark your calendars tell a friend and get ready for an eastafrican experience like no other oktobafesteastafrica,Positive,"Sep 10, 2023 · 5:33 PM UTC",0,0,0,0
1,come and experience south sudanese culture food fashion and music at the otktobafest on 16th dec 2023 cultural center spread the news thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Dec 15, 2023 · 9:45 AM UTC",0,0,0,0
2,my fave tbt jam is why lie so to the homie  for performing it at tuskeroktobafest,Positive,"Nov 16, 2023 · 6:00 AM UTC",0,0,0,0
3,share the excitement for tuskeroktobafest whats your goto dance move that you cant resist showing off when the music starts and which friend do you think has the best dance moves tell us about your dancing fun  oktobafesteastafrica,Positive,"Nov 12, 2023 · 9:45 PM UTC",0,0,0,0
4, tell us about your festival fashion at tuskeroktobafest whats your goto festival outfit and which accessory or clothing item is a must for you share your style choices and lets talk festival fashion  thisishowwedo,Positive,"Nov 12, 2023 · 9:44 PM UTC",0,0,0,0
5,4 juba are you ready to make memories at tuskeroktobafest whats the one musthave festival snack for you and whos in your festival squad share your food and friends choices with us ,Positive,"Nov 12, 2023 · 9:42 PM UTC",0,0,0,0
6,ola enteractive in honour of throwback thursdays id like to shine a light to all the og rapperssingers eg akina nameless bigpin esir juacali mr lenny etc im glad i got to see them perform at tuskeroktobafesthiyo nostalgia ilishika kuliko jaba juice,Positive,"Nov 9, 2023 · 6:18 AM UTC",0,0,0,0
7,celebration of african culture enjoying eas finest brewscreating lasting memories with friends  creating meaningful connectionsget tickets  gate tuskerbeeroktobafest thisishowwedo oktobafesteastafrica tuskeroktobafest,Positive,"Nov 8, 2023 · 7:52 PM UTC",0,0,0,0
8,the epic night that was tuskeroktobafest in pictures,Neutral,"Nov 8, 2023 · 9:37 AM UTC",0,0,0,0
9,thisishowwedotuskeroktobafest oktobafesteastafrica,Neutral,"Nov 7, 2023 · 12:24 PM UTC",0,0,0,0
10,love their drip meet brian njura the brains and heart behind home 254 a fashion sensation that oozes kenyan pride they met you live at tuskeroktobafest hoping to ignite your entrepreneurial sparks and you know what fuels their success lipa na mpesa tracking accounting and managing the money flow ensuring their business is a smooth operation mayouth hii ni sign yako kuplug into safaricomhook and make your dream job a reality,Positive,"Nov 4, 2023 · 9:42 AM UTC",0,0,0,0
11,then we jumped on stage at the tuskeroktobafest courtesy of check out the culmination of our performance ,Positive,"Nov 3, 2023 · 12:09 PM UTC",0,0,0,0
12,check out our exclusive behind the scenes footage in preparation of our performance at the exclusive tuskeroktobafest last weekend,Positive,"Nov 3, 2023 · 12:05 PM UTC",0,0,0,0
13,more behind the scenes footage of our experience at the tuskeroktobafest  nabbis cooper,Neutral,"Nov 3, 2023 · 5:13 AM UTC",0,0,0,0
14,we marked our performance on one of the biggest stages in east africa tuskeroktobafest much love  sincere appreciation to for having us na pia all the fans that came out to support us on this special day  kenyan mwangi  nabbis cooper,Positive,"Nov 3, 2023 · 4:27 AM UTC",0,0,0,0
15,memories were definitely made at the tuskeroktobafest  electric performances vibrant crowd good food art tuskeroktobafest nrgevents,Positive,"Nov 2, 2023 · 3:51 PM UTC",0,0,0,0
16,last weekend we took the tuskeroktobafest by stormteaming up with we powered up the event as the official payment partner making it an unforgettable experience our cows ensured topnotch connectivity and with mpesa we made payments quick and easy because you can domorewithmpesa and of course theres safaricomhook our youth empowerment plug thank you for turning up and rocking this epic festival with us,Positive,"Nov 2, 2023 · 1:46 PM UTC",0,0,0,0
17,nani alikua na io fpv thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Nov 1, 2023 · 9:01 PM UTC",0,0,0,0
18,the story teller did not dissapoint also the view of that stage was definitely worth the capture thanks to  nrgevents tuskeroktobafest,Positive,"Nov 1, 2023 · 11:42 AM UTC",0,0,0,0
19,this past weekend we graced one of the grandest stages in east africa in the tuskeroktobafest heres us in preparation for the show bts soundcheck  kenyan mwangi na nabbis cooper,Positive,"Nov 1, 2023 · 6:44 AM UTC",0,0,0,0
20,kumbusho tu the past weekend was a whole moviee swipe for greatness nrgevents tuskeroktobafest,Neutral,"Nov 1, 2023 · 6:00 AM UTC",0,0,0,0
21,tuskeroktobafest was a huge success the safaricomhook experience was one of a kind with influencers dancers gaming and a live podcast we appreciate our partners for allowing us to be a part of this experience,Positive,"Nov 1, 2023 · 5:47 AM UTC",0,0,0,0
22,we were in the building at the tuskeroktobafest need we say moreuspime aisee,Neutral,"Oct 31, 2023 · 9:30 AM UTC",0,0,0,0
23,hanging out backstage with the renowned after his dope performance at the just concluded tuskeroktobafest we got an ep out a genge hip hop story featuring the likes of of the acclaimed,Positive,"Oct 31, 2023 · 9:16 AM UTC",0,0,0,0
24,anaitwa masupo the baddest guitarist dunia mzima  tuskeroktobafest bidiiyangu,Neutral,"Oct 31, 2023 · 9:11 AM UTC",0,0,0,0
25,this year kbl took the tuskeroktobafest preparations to the next level  preparations this year have involved better mobility for revelers with free shuttles from nairobis central business district cbdat kencom for festivalgoers with tickets,Positive,"Oct 31, 2023 · 8:24 AM UTC",0,0,0,0
26,tusker oktobafest concerts will always have my heart  thank you tuskeroktobafest,Positive,"Oct 31, 2023 · 6:56 AM UTC",0,0,0,0
27,tuskeroktobafest,Neutral,"Oct 31, 2023 · 6:44 AM UTC",0,0,0,0
28,fusion of culture music and vibes  thank you cc tuskeroktobafest mosoundevents,Positive,"Oct 30, 2023 · 2:59 PM UTC",0,0,0,0
29,big baba x omollo ni kubaya always moves the crowd ata ikue wapi classiic tuskeroktobafest,Neutral,"Oct 30, 2023 · 2:56 PM UTC",0,0,0,0
30,i wish we could rewind tuskeroktobafest,Positive,"Oct 30, 2023 · 2:34 PM UTC",0,0,0,0
31,after nyashinski performing incase you dont know with jux he let him perform enjoy the crowd went crazy maan tuskeroktobafest,Positive,"Oct 30, 2023 · 2:23 PM UTC",0,0,0,0
32,how recovery from tuskeroktobafest looks like for me and bazu  nrgtransit which artist blew you away kwa performance,Positive,"Oct 30, 2023 · 1:08 PM UTC",0,0,0,0
33,tanzanian singer juma jux when he joined nyashinski on stage to perform their hit in case you dont know tuskeroktobafest oktobafesteastafrica oktoberfestkampala ngong racecourse willis raburu wakadinali oktober fest nyashinski,Neutral,"Oct 30, 2023 · 12:48 PM UTC",0,0,0,0
34,ive had so much fun talking about music this weekend i could go on and on and on lakini lemme rest haha tuskeroktobafest was amazing yaani ,Positive,"Oct 30, 2023 · 12:23 PM UTC",0,0,0,0
35,diamond can only wish to get to nyashinskis level in terms of performance he can only wish maan i just would want nyashinski apige more performances in uganda tanzania na rwanda and hivo ndo atatake over east africa he had already done good ones pale tz tuskeroktobafest,Positive,"Oct 30, 2023 · 12:21 PM UTC",0,0,0,0
36,amepewa state recognition na kama anafeel io ni kitu ndogo atushoo anadai tumfanyie nini kama nchi juu enyewe jana tuskeroktobafest,Neutral,"Oct 30, 2023 · 11:47 AM UTC",0,0,0,0
37,3 days of maaad energy  this years tuskeroktobafest was one for the books a big thanks to for the opportunity cant wait for next year also bless up to all who came out see you on the next one partywithdjjr oktobafesteastafrica thisishowwedomusic,Positive,"Oct 30, 2023 · 11:46 AM UTC",0,0,0,0
38,the really saved the best for last tuskeroktobafest,Positive,"Oct 30, 2023 · 11:45 AM UTC",0,0,0,0
39,last day of tuskeroktobafest oktobafesteastafrica ilidonjo as faki,Neutral,"Oct 30, 2023 · 11:41 AM UTC",0,0,0,0
40,yaani jana nyashinski brought out all the artists he has collaborated with 1 femi one 2 sauti sol 3 khaligraph jones 4 juma jux 5 kleptomaniax only chris kaiga sijui kwenye aliachwa  tuskeroktobafest,Neutral,"Oct 30, 2023 · 11:35 AM UTC",0,0,0,0
41,thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Oct 30, 2023 · 11:33 AM UTC",0,0,0,0
42,thisishowwedo tuskeroktobafest oktobafesteastafrica nyash doing the ting,Neutral,"Oct 30, 2023 · 11:28 AM UTC",0,0,0,0
43,thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Oct 30, 2023 · 11:22 AM UTC",0,0,0,0
44,thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Oct 30, 2023 · 11:19 AM UTC",0,0,0,0
45,thisishowwedo tuskeroktobafest oktobafesteastafrica zzerro sufuri,Neutral,"Oct 30, 2023 · 11:15 AM UTC",0,0,0,0
46,thisishowwedo tuskeroktobafest oktobafesteastafrica,Neutral,"Oct 30, 2023 · 10:59 AM UTC",0,0,0,0
47,sippin groovin and oktoberfest provin at tusker oktobafest from the brews to the beats this festival was an absolute blast safaricomhook domorewithmpesa tuskeroktobafest,Positive,"Oct 30, 2023 · 10:53 AM UTC",0,0,0,0
48,tuskeroktobafest had so many incidents like this throughout the night and its clear that they didnt employ sufficient security and wont suffer any consequences for their laissezfaire approach to safety,Positive,"Oct 30, 2023 · 10:46 AM UTC",0,0,0,0
49,have grown the baby that is tuskeroktobafest since it was an idea in powerpoint 45 yrs ago well done marek and team,Positive,"Oct 30, 2023 · 10:14 AM UTC",0,0,0,0
50,my best performances performance  lights stage  sound music skill 1 charisma 2 khaligraph mutoria nyashinski costa also diamond wakadinali and nyashinski are cults true ones wueh this is good we need more  tuskeroktobafest,Positive,"Oct 30, 2023 · 9:37 AM UTC",0,0,0,0
51,mejja alligia tu na coffin then aka kill show after mosoundevents kudeliver oktobafesteastafrica tuskeroktobafest,Negative,"Oct 30, 2023 · 7:11 AM UTC",0,0,0,0
52,boss you didnt leave gp after tuskeroktobafest ,Positive,"Oct 30, 2023 · 7:02 AM UTC",0,0,0,0
53,let your circle be of great minds and youll be one as well backstage at the tuskeroktobafest with the iconic jabaliafrika  we keep building  the boom bap is in effect ,Positive,"Oct 30, 2023 · 6:52 AM UTC",0,0,0,0
54,nyashinski curated and delivered one of the best tuskeroktobafest performances ive ever seen he brought out sauti sol jux femi one kleptomaniax and khaligraph on stage it felt like shin city all over again 1010,Positive,"Oct 30, 2023 · 6:29 AM UTC",0,0,0,0
55,i watched wakadinalis performance yeah those niggas dont know shit about professionalism even when performing theyre all performing every versei fucks w their music but their performing skills are mid af tuskeroktobafest,Negative,"Oct 30, 2023 · 3:46 AM UTC",0,0,0,0
56,i did not attend the tuskeroktobafest that just concluded but from your post on the socials the only thing that was great was  hio rende ni rong,Positive,"Oct 30, 2023 · 3:34 AM UTC",0,0,0,0
57,sautisol  tuskeroktobafest  pr that one ,Neutral,"Oct 30, 2023 · 3:31 AM UTC",0,0,0,0
58,mr dj song pon de replay  tuskeroktobafest oktobafesteastafrica thisishowwedo,Neutral,"Oct 30, 2023 · 3:00 AM UTC",0,0,0,0
59,hats down to nyashinskione of the best performances tonight at october fest brought out the  legendary kleptomaniax femi one juma jux khaligraph jones and sauti sol in his set goat its all about the moments tuskeroktobafest nyashinski,Positive,"Oct 30, 2023 · 2:21 AM UTC",0,0,0,0
60,flag raised high salute to tuskeroktobafest nrgradiokenya nrgevents mosoundsevents,Neutral,"Oct 30, 2023 · 1:53 AM UTC",0,0,0,0
61,nyanshinski bringing kleptomaniax sauti sol and juma jux on stage during his set has been my tuskeroktobafest highlight he is who he thinks he is ,Positive,"Oct 30, 2023 · 12:58 AM UTC",0,0,0,0
62,zimeshika kamewaka alafu decides to play niko sawa ni kama hataki niende home oktobafesteastafrica thisishowwedo tuskeroktobafest,Positive,"Oct 30, 2023 · 12:47 AM UTC",0,0,0,0
63,god bless nyashinski tuskeroktobafest,Positive,"Oct 30, 2023 · 12:37 AM UTC",0,0,0,0
64,wakadinali in the building pale ngong racecourse they killed the show kama kawa oktobafesteastafrica tuskeroktobafest oktoberfest diamond,Negative,"Oct 30, 2023 · 12:30 AM UTC",0,0,0,0
65,nyashinski is who he thinks he is tuskeroktobafest,Neutral,"Oct 30, 2023 · 12:29 AM UTC",0,0,0,0
66,on the other hand rapper khaligraph jones brought out masauti and rapper breeder lw during his set oktobafesteastafrica oktobafest tuskeroktobafest ngong racecourse diamond,Positive,"Oct 30, 2023 · 12:25 AM UTC",0,0,0,0
67,nyashinski is who he thinks he is for sure tuskeroktobafest,Positive,"Oct 30, 2023 · 12:20 AM UTC",0,0,0,0
68,aaaai hapana acha tuongee ukweli wakadinali performance is not it their songs sound worse na hii show waanze kuchukulia their art in perfomance serious si ku appear tu tuskeroktobafest oktobafesteastafrica,Negative,"Oct 29, 2023 · 11:57 PM UTC",0,0,0,0
69,day 2 is maaad vibes tuskeroktobafest,Neutral,"Oct 29, 2023 · 11:20 PM UTC",0,0,0,0
70,finally rr in the cut tuskeroktobafest ,Negative,"Oct 29, 2023 · 11:15 PM UTC",0,0,0,0
71,nviiri tuskeroktobafest,Neutral,"Oct 29, 2023 · 11:10 PM UTC",0,0,0,0
72,mabibi na mabwanayaani ladies and gentlemen its official ogopa nyashinski he brought on stage kleptomaniax sauti sol femi one khaligraph jones juma jux he is the goat tuskeroktobafest oktobafesteastafrica oktoberfest diamond ngong racecourse,Positive,"Oct 29, 2023 · 11:04 PM UTC",0,0,0,0
73,nyinyi watu i hope mlibeba nguo za ofisi because how are you still out at 2 am on a monday morning tuskeroktobafest,Positive,"Oct 29, 2023 · 11:01 PM UTC",0,0,0,0
74,nyashinski is who he thinks he is damn  tuskeroktobafest,Negative,"Oct 29, 2023 · 10:43 PM UTC",0,0,0,0
75,nyashinski just brought sauti sol on stage at tuskeroktobafest best night fr,Positive,"Oct 29, 2023 · 10:26 PM UTC",0,0,0,0
76,brought out the whole gang im talking klepto that performance will forever be legendary we gon miss this sol shit for sho tuskeroktobafest shinskimoments,Negative,"Oct 29, 2023 · 10:20 PM UTC",0,0,0,0
77,all those recording at tuskeroktobafest make we see those videos please wow,Positive,"Oct 29, 2023 · 10:20 PM UTC",0,0,0,0
78,femione nyashinski giving a phenomenal performance at tuskeroktobafest,Positive,"Oct 29, 2023 · 10:19 PM UTC",0,0,0,0
79,i hope wherever you are you are recording that nyashinski and sauti sol moment  tuskeroktobafest,Positive,"Oct 29, 2023 · 10:16 PM UTC",0,0,0,0
80,nyashinky bringing tuskeroktobafest down network ni safi kama pamba thanks to cell on wheels technology safaricomhook making sure you dont miss out on the fun dial 555ok get a bundle to follow the festival live  domorewithmpesa,Positive,"Oct 29, 2023 · 10:08 PM UTC",0,0,0,0
81,and the goat nyashinski loved tuskeroktobafest,Positive,"Oct 29, 2023 · 10:01 PM UTC",0,0,0,0
82,the goat for a reason nyashinski tuskeroktobafest,Neutral,"Oct 29, 2023 · 9:58 PM UTC",0,0,0,0
