,News Source,cleaned_text,sentiment
0,The Star Kenya ,kenya breweries introduces baileys delight drink to consumers,Neutral
1,Tuko.co.ke ,valentines days baileys delight among affordable things you can buy your loved one,Positive
2,BellaNaija,check out some of the delightful moments from baileys at the mbgn 2022 pageant,Positive
3,The Star Kenya ,heres a delicious baileys delight chocolate cake recipe to try,Positive
4,Guardian Nigeria,guinness nigeria introduces baileys delight a light and lush cream liquor,Positive
5,GhanaWeb,fun facts about baileys delight that will excite your palate,Positive
6,BellaNaija,baileys delight crowns the year with 12 days of treats,Neutral
7,Pulse Ghana ,guinness ghana breweries plc launches baileys delight in ghana,Neutral
8,Daily Post Nigeria,12 delight treats baileys nigeria closes calendar year on sweet note,Positive
9,Nairametrics,official guinness now produces baileys from nigeria,Neutral
10,Myjoyonline,baileys delight celebrates world liqueur day in style,Neutral
11,P.M. News,bisola unveiled as baileys delight brand influencer,Neutral
12,New Vision,beauty queen uganda airlines and ubl join vision groups bride  groom expo,Neutral
13,GhanaWeb,a delightful gift for the season baileys delight,Positive
14,The Star Kenya ,honeyflavoured drink launched in kenya  nairobi,Neutral
15,Guardian Nigeria,baileys bakefest delivering deliciousness with baileys delight  guardian life,Neutral
16,BellaNaija,baileys delight x house of tara makeup challenge winners were treated to a photography masterclass with rhema,Neutral
17,BellaNaija,weve got the scoop on seyi shays intimate closet raid,Positive
18,Mashed,add a boozy twist to your french toast with baileys,Neutral
19,BellaNaija,rinu oduala osas ighodaro  sandra ezekwesili among 2021 recipients of her networks woman of the year awards,Neutral
20,New Vision,beauty queen uganda airlines join vision groups bride and groom expo,Neutral
21,PR Newswire,introducing baileys deliciously light our lightest indulgence yet made with 40 less sugar and calories than ,Positive
22,DFNIonline.com,diageo celebrates launch of baileys birthday cake travel retail exclusive,Neutral
23,chimpreports.com,rockshore tropical lager ugandas first flavored beer launched,Positive
24,Punch Newspapers,how low purchasing power disrupts businesses drives sachet economy,Neutral
25,BellaNaija,the new mamaspapas magazine cover may just be the cutest thing youll see today,Positive
26,Delish,baileys has a peppermint barkflavored coffee creamer,Neutral
27,Cosmopolitan India,could there be anything better than a chilled glass of baileys to kick off the cosmo bloggers awards 23  cosmopolitan india,Positive
28,Daily Post Nigeria,accord presidential candidate chris imumolen named educationist of the year,Neutral
30,BellaNaija,wce baileys celebrates these special women this month of march,Positive
31,SheKnows,we are totally drinking these baileys cocktails for dessert,Neutral
32,BellaNaija,it was all smiles  fun at the launch of baileys delight,Positive
33,New Zealand Herald,review bill baileys balls bagpipes and bewildering anecdotes delight hawkes bay crowd,Neutral
34,Pulse Nigeria,baileys bakefest 2019 timini egbuson wins baking competition with chef koks,Positive
35,BellaNaija,here are all the moments from croc party with dj consequence  skiibii,Neutral
36,The Mirror,strictly star bill baileys incredible message of support from celebrity fan,Positive
37,Business Post Nigeria,baileys sponsors networking programme for career women sheblooms,Neutral
38,The Sun,tesco is selling baileys coffee ice cream  but youll need id to buy it,Neutral
39,The Sun,from cream to cupcakes  here are all the supermarket treats with baileys in  and theyre perfect for chri,Positive
40,IrishCentral,baileys chocolate chip ice cream pie recipe,Neutral
41,The Guardian,titus andronicus review  shakespeares bloodbath becomes a sadistic delight,Neutral
42,The Mirror,bm selling giant baileys strawberries and cream easter eggs for an amazing price,Positive
43,Metro.co.uk,strictly come dancing 2020 bill baileys dances so far ranked,Positive
44,Chortle,the perfect 10  news 2020,Positive
45,Chronicle Live,tomboy student nicole baileys delight at being crowned miss newcastle gb,Neutral
46,HapaKenya,black  white whisky  hart the band partner to launch consumer experiences for the youth  hapakenya,Positive
47,Lifestyle Asia India,best blended scotch options at price points under inr 5000 for your home bar,Positive
48,The Spirits Business,top 10 biggestselling scotch whiskies,Positive
49,PR Newswire,black dog in association with keira knightley unveils its rare whisky cask edition,Positive
50,Lifestyle Asia India,best bottles of scotch under inr 2000 for the smoothest whisky collection,Positive
51,The Financial Express,dewars to black dog alcohol brands under rs 3000 that you should add to your home bar,Neutral
52,Diageo,discover diageo  diageo,Neutral
53,HapaKenya,hart the band throws down electrifying performance at black  white scotch whiskys celebration  hapakenya,Positive
54,Business Insider,how uncle nearest became the bestselling blackowned spirit brand,Neutral
55,Curly Tales,what india is drinking top 10 blended scotchmalt loved in indian bars,Positive
56,The Observer,black and white whiskey revives my kampala nightlife nostalgia,Neutral
57,Lifestyle Asia India,get a neat whisky collection on a budget with these scotch bottles under inr 2500,Neutral
58,Voice of America - VOA News,enslaved black man created worlds most popular whiskey,Positive
59,Graphic Online,guinness launches black and white scotch whisky,Neutral
60,The Hindu,heston blumenthal shares his journal,Neutral
61,The Spirits Business,scotch whisky brand champion 2018 black  white,Neutral
62,Curly Tales,11 best whiskies in india under 1500,Positive
63,PR Newswire,black  white ginger ale by diageo sets up a table for everyone  encourages varied perspectives fosters ,Negative
65,GhanaWeb,guinness ghana breweries limited launches black  white scotch whisky,Positive
66,Hotelier India,black  white scotch collaborates with michelin star chef heston blumenthal to celebrate the magic of sharing,Positive
67,YourStory,smoky scotch and delicious fare heres how to pair cocktails with food to enhance its flavour,Positive
