data,text,sentiment,filtered_text
https://twitter.com/BrightSidePulse/status/1744850181651365943#m,"We were sitting in front of the car, thinking he would not pass our car that close… (Credits: tiktok: larsbeusker) #animal #animals #wild #wildlife #wildlifephotography #wildanimals #nature #safari #travel #tusk #tusker #elephant #elephants",Neutral,"['sitting', 'front', 'car', 'thinking', 'would', 'pass', 'car', 'close', 'credits', 'tiktok', 'larsbeusker', 'animal', 'animals', 'wild', 'wildlife', 'wildlifephotography', 'wildanimals', 'nature', 'safari', 'travel', 'tusk', 'tusker', 'elephant', 'elephants']"
https://twitter.com/VVani4U/status/1744616638459400282#m,Elephant Attack In Sirsi | ರೈತರ ಗದ್ದೆಗೆ ನುಗ್ಗಿ ಕಾಡಾನೆ ಹಾವಳಿ #elephant #sirsi #tusker #elephantattack #uttarakannada #vijayavani #kannadanews #karnatakanews #karnatakalatestnews #kannadalive https://invidious.perennialte.ch/INA6VQPsMjM,Negative,"['elephant', 'attack', 'sirsi', 'elephant', 'sirsi', 'tusker', 'elephantattack', 'uttarakannada', 'vijayavani', 'kannadanews', 'karnatakanews', 'karnatakalatestnews', 'kannadalive']"
https://twitter.com/AJaulas/status/1741675029312483376#m,"Querido TUSKER es una tristeza el solo pensar en todo lo que hubieras aportado a tu especie en libertad, pero la soberbia humana te lo negó. Lamentable que tu maravillosa descendencia también sobrevivirá en cautiverio. DEP #Tusker 🙏❤️🐘🕯🕊🌸 #Vigil4Elephants #ElCautiverioMata",Negative,"['querido', 'tusker', 'es', 'una', 'tristeza', 'el', 'solo', 'pensar', 'en', 'todo', 'lo', 'que', 'hubieras', 'aportado', 'tu', 'especie', 'en', 'libertad', 'pero', 'la', 'soberbia', 'humana', 'te', 'lo', 'neg', 'lamentable', 'que', 'tu', 'maravillosa', 'descendencia', 'tambin', 'sobrevivir', 'en', 'cautiverio', 'dep', 'tusker', 'vigilelephants', 'elcautiveriomata']"
https://twitter.com/Onmanorama/status/1741874825592033370#m,Wild tusker hit by Sabarimala pilgrimage bus found dead in Wayanad jungle #wayanad #tusker #latest https://www.onmanorama.com/news/kerala/2024/01/01/wild-tusker-injured-in-accident-found-dead-in-wayanad-jungle.html,Negative,"['wild', 'tusker', 'hit', 'sabarimala', 'pilgrimage', 'bus', 'found', 'dead', 'wayanad', 'jungle', 'wayanad', 'tusker', 'latest']"
https://twitter.com/AJaulas/status/1741675400948797821#m,Querido TUSKER es una tristeza el solo pensar en todo lo que hubieras aportado a tu especie en libertad por la soberbia humana. Una tristeza que tu maravillosa descendencia y también esté en cautiverio. Disfruta tu libertad allá donde te encuentres. DEP #Tusker 🙏❤️🐘🕯🕊🌸,Neutral,"['querido', 'tusker', 'es', 'una', 'tristeza', 'el', 'solo', 'pensar', 'en', 'todo', 'lo', 'que', 'hubieras', 'aportado', 'tu', 'especie', 'en', 'libertad', 'por', 'la', 'soberbia', 'humana', 'una', 'tristeza', 'que', 'tu', 'maravillosa', 'descendencia', 'tambin', 'est', 'en', 'cautiverio', 'disfruta', 'tu', 'libertad', 'donde', 'te', 'encuentres', 'dep', 'tusker']"
https://twitter.com/yespunjab/status/1740690994302193708#m,Tusker gatecrashes into Haridwar district court #elephant #Haridwar #HaridwarCourt #ElephantBreaksCourtGate #Tusker https://yespunjab.com/?p=911835,Neutral,"['tusker', 'gatecrashes', 'haridwar', 'district', 'court', 'elephant', 'haridwar', 'haridwarcourt', 'elephantbreakscourtgate', 'tusker']"
https://twitter.com/KannadaPrabha/status/1740602756921196902#m,ಬೆಂಗಳೂರು: ಆನೆ ದಾಳಿಗೆ ವ್ಯಕ್ತಿ ಬಲಿ? Tusker kills man in city outskirts #Tusker #attack #Bengaluru #Died #ಆನೆದಾಳಿ #ವ್ಯಕ್ತಿ #ಸಾವು #ಬೆಂಗಳೂರು #ಒಂಟಿಸಲಗ @XpressBengaluru Read more here: https://bityl.co/NGsN,Negative,"['tusker', 'kills', 'man', 'city', 'outskirts', 'tusker', 'attack', 'bengaluru', 'died', 'read']"
https://twitter.com/jyotsnadevi33/status/1739138587759726829#m,Awaiting news for #Tusker's recovery 🙏,Neutral,"['awaiting', 'news', 'tuskers', 'recovery']"
https://twitter.com/jacekbea/status/1737490487479591247#m,#tusker ii,Neutral,"['tusker', 'ii']"
https://twitter.com/SportScoreio/status/1737442967495827587#m,🎌Match Started!🎌 💥⚽️💥 Tusker vs Kenya Police FC League: Kenyan Premier League 💥⚽️💥 Watch Now on SportScore: https://sportscore.io/football/match/tusker-kenya-police-fc/jw2r09h2jv3nrz8/ #Tusker #KenyaPoliceFC #KenyanPremierLeague #MoiInternationalSportsCentre,Neutral,"['match', 'started', 'tusker', 'vs', 'kenya', 'police', 'fc', 'league', 'kenyan', 'premier', 'league', 'watch', 'sportscore', 'tusker', 'kenyapolicefc', 'kenyanpremierleague', 'moiinternationalsportscentre']"
