,data,text,stats,links,sentiment
0,https://twitter.com/SimonAl48826622/status/1735609629260775594#m,Our family Father Christmas.  Got it from a digs mate who worked at #Gilbeys back in 1985,"Dec 15, 2023 · 10:35 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
1,https://twitter.com/Spunk_35/status/1733778831633256726#m,Hoca bunu içince halüsinasyon görmüş sanırım bünyesi o kadar güçlü değilmiş belli ki.😂😂😂 #gilbeys #gın #England #votka #hoca #şeytan,"Dec 10, 2023 · 9:21 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
2,https://twitter.com/MrefuY/status/1731714423176188330#m,#Gilbeys,"Dec 4, 2023 · 4:37 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
3,https://twitter.com/thee_artistry/status/1722285760810799539#m,Kati ya Gilbeys na Man-U  ni gani kali 😂😂😂 #ManUtd #gilbeys #gin,"Nov 8, 2023 · 4:11 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
4,https://twitter.com/ThikaRoadKe/status/1717586932539011412#m,@EABL_PLC please how  can we able to recognize genuine @GilbeysKe #Gilbeys @KEBS_ke @Cofek_Africa #KOX,"Oct 26, 2023 · 5:00 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
5,https://twitter.com/kaya_ton/status/1713970614791278822#m,Gin sour #gilbeys,"Oct 16, 2023 · 5:30 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
6,https://twitter.com/dukqr/status/1713116158134497319#m,"We were helpless bana, sleeping on #Gilbeys gin and #Konyagi","Oct 14, 2023 · 8:54 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Negative
7,https://twitter.com/andmut_/status/1711367185254281470#m,Arrow Logo #vfx #3Danimation #horror #movie #creepy #brilliant #fantasy #254 #aftereffects #kot #gilbeys #Logo #LogoDesign #creative #creativeart #Israel #Gaza #arrow #ai #today #x #animation,"Oct 9, 2023 · 1:05 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 4}",Neutral
8,https://twitter.com/Vatah14/status/1709905886003577223#m,"Well,sijaai kosea brand #gilbeys","Oct 5, 2023 · 12:18 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
9,https://twitter.com/MATLABxForestry/status/1702883360824340946#m,#ジン #Beefeater の方が #Gilbeys よりもボタニカルのエッジが立ってるような,"Sep 16, 2023 · 3:13 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
10,https://twitter.com/senyorbiko/status/1687813120667066369#m,"Si #JoeyMarquez ay isang dating professional basketball player sa #PBA.  Naglaro siya para sa #PrestoFunDrinks / #GreatTaste Coffee Makers mula 1981 hanggang 1983, #Gilbeys Gin Tonics / #GinebraSanMiguel mula 1984 hanggang 1986, at Hills Bros. Coffee Kings noong 1987.","Aug 5, 2023 · 1:09 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
11,https://twitter.com/SimonObuya1/status/1674084443655487494#m,"My guys! Avoid those people spreading the fake narrative that the finest spirit in Kenya is no longer in the Market. Gilbeys is in the market even better, ignore the fake news. Do not miss out on your favourite drink #Gilbeys on your special occasion guys. #GilbeysByChoice","Jun 28, 2023 · 3:56 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Negative
12,https://twitter.com/Nasiaonal/status/1668714440144064513#m,Sisa tinggal 22 botol yang mau order untuk wilayah Surabaya dan Sidoarjo sialhkan kakak harga bisik bisik pasti murmer kakak #gilbeys #wisky #vodka #rum #gin #spirit #fypviraltwitter,"Jun 13, 2023 · 8:18 PM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}",Neutral
13,https://twitter.com/JacarandaBar/status/1662165185484795904#m,Mambo imechemka... Only 2k you get MZINGA 750ml and 2 soda chasers or maji 1ltr.  #Gilbeys #Gin #Jacaranda #Friday,"May 26, 2023 · 6:33 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
14,https://twitter.com/XQueenYZ/status/1657226051238481923#m,"My drinking days ningekuwa nimekunywa #gilbeys kanusu Jana, blacked out and woken up with a headache. #soberlife","May 13, 2023 · 3:27 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
15,https://twitter.com/mineahnne/status/1655016796595032065#m,Cheers! 👌🍾🍻 #gilbeys,"May 7, 2023 · 1:08 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
16,https://twitter.com/PrinceTheDeejay/status/1649828560574595083#m,We Turn it up at CROWDADDYS- Embakasi tonight.  #Gilbeys #GilbeysSquare #Eabl #nightlife #SaturdayVibes,"Apr 22, 2023 · 5:32 PM UTC","{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 3}",Neutral
17,https://twitter.com/outlookindex/status/1648990124624019461#m,Visit our website to order and select outlook index as your preferred distributor. 🌐 https://ke.thebar.com/ 📞0798985300/0720436498 📍 enterprise Road  #weekendvibes #EidUlFitr #EidAlFitr2023 #diageo #gilbeys #Gintonic #thebarkenya,"Apr 20, 2023 · 10:00 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",Neutral
18,https://twitter.com/yule_daktari1/status/1641030642782679040#m,#Medicalmemes #Gilbeys,"Mar 29, 2023 · 10:52 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
19,https://twitter.com/kalimancem/status/1634304210664579073#m,-İnsanlar neden mutlu olmak için alkole ihtiyaç yoktur derler  bilmiyorum.#gilbeys #doğanduru,"Mar 10, 2023 · 9:24 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
20,https://twitter.com/La_Bouteille254/status/1628698390186848257#m,"Gilbey's gin✅ Fun with friends✅ 24 hour delivery Located in Kindaruma Business Centre, Kilimani labouteille.co.ke 0795191549 #labouteille #gilbeys #Gintonic #thursdayvibes  Sacked Azziad Tuliahidi Tumetimiza Indian Ocean Henry Sugoi Baba Lawyer Danstan Omari #Manbar GGMU","Feb 23, 2023 · 10:08 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
21,https://twitter.com/ShalWambu/status/1626612175711178752#m,That gilbeys event pale ABSA should be repeated fr!.. #gilbeys #ABSA #ticketasa,"Feb 17, 2023 · 3:58 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
22,https://twitter.com/SketchezArts/status/1621084404096598016#m,Fun moments from @gilbeyskenya Mixed Berries Pinknic Event #Gilbeys #MixedAndMatched #BerriesAreHere #Caricature #livecaricature #MixedMedia #LiveSketch #QuickArt #DrawDaily #Sketchfam  ©2K23 tiktok.com/@sketchezarts,"Feb 2, 2023 · 9:53 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 5}",Positive
23,https://twitter.com/MissMonasCloset/status/1619719027412320256#m,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #gilbeys #giuseppezanotti: https://posh.mk/zxiNvD8U7rb,"Jan 29, 2023 · 3:28 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
24,https://twitter.com/shootie001/status/1619451093276307457#m,Nairobi has fine babes!!!wueeh #GilbeysMixedBerriesPinknic #Gilbeys,"Jan 28, 2023 · 9:43 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
25,https://twitter.com/hom_tankss/status/1619416107781361666#m,Out witnessing ratchetry #gilbeys,"Jan 28, 2023 · 7:24 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
26,https://twitter.com/OfNjoki/status/1619039351484338176#m,https://ke.thebar.com/promotion/Gilbey's-Mixed-Berry-Pinknic-@-Absa-Grounds/146 #gilbeys #iworkfordiageo #iworkforeabl #drinkiq,"Jan 27, 2023 · 6:27 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
27,https://twitter.com/andrew_mtuG/status/1618983339763048448#m,#gilbeys @GilbeysKe Get your tickets at https://ke.thebar.com/promotion/Gilbey's-Mixed-Berry-Pinknic-@-Absa-Grounds/146  Or  https://www.ticketsasa.com/events/eventdetail/view/3729/gilbeys_mixed_berry_pinknic #drinkresponsibly #iwork4eabl,"Jan 27, 2023 · 2:44 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
28,https://twitter.com/boozebite/status/1618599637207719939#m,"This Friday, get your hands on Gilbeys Gin at a steal during our flash sale on #BoozeBite  Don't miss out on this limited-time offer. Cheers to the weekend! #Gin #Sale #Gilbeys","Jan 26, 2023 · 1:20 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
29,https://twitter.com/OnTheRocksEld/status/1616754311899267072#m,"Our Weekend offers are unbeatable!  JW Black at 4,000/- and Gilbeys at 1,700/- and the best part: shots at 150/- Come catch all #epl games at On The Rocks!  #OnTheRocks #drinks #weekend #gilbeys #johniewalker #whiskey #gin #whisky #football #soccer #food #bar #eldoret","Jan 21, 2023 · 11:07 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
30,https://twitter.com/uniquewesterner/status/1614481498987446273#m,#Gilbeys,"Jan 15, 2023 · 4:35 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
