,data,text,stats,links,sentiment
0,https://twitter.com/mathiasaserbire/status/1745392499651219846#m,Ghanaian Chef Faila ends world record cook-a-thon attempt after  227 hours https://www.graphic.com.gh/entertainment/showbiz-news/ghanaian-chef-faila-takes-bite-out-of-world-record-with-227-hour-cook-a-thon.html?fbclid=IwAR1gjGJq7rsS8AsR7Oh0zgiVQVU6D3O4DyEmfr5BahKBFqLhiroCzFvJvs4 #ghananews #ghana #ghanaian #tourism #guinness #guinnessworldrecords #guinnessworldrecord #africa,"Jan 11, 2024 · 10:29 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
1,https://twitter.com/icemone81009479/status/1745386659082858861#m,"#Guinness I been sitting on top of my fears on a reg, I ain't got time to waste on failure.","Jan 11, 2024 · 10:06 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 6}",Negative
2,https://twitter.com/scenttokyo/status/1745369351350525959#m,#beer #craftbeer #shigakogenbeer #minohbeer #dd4d #meguro #pub #camra #guinness #realale #helpwanted #スタッフ募集中,"Jan 11, 2024 · 8:57 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
3,https://twitter.com/eVisitorGuide/status/1745347566999335168#m,".@LizziesIrishPub is the place for great food, drink, awesome river views, and warm, friendly service. Near @TheMagMile & #NavyPier. https://evisitorguide.com/chicago/brochures/lizzie-mcneills-irish-pub-chicago-riverwalk.php #Chicago #travel #budgettravel #chicagoriver #magmile #sightseeing #dining #nightlife #irishpub #guinness","Jan 11, 2024 · 7:31 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
4,https://twitter.com/shocked_daily/status/1745333205031608532#m,Who did it better - #Guinness or #Fleshlight ?,"Jan 11, 2024 · 6:33 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
5,https://twitter.com/FlyerTalkerinA2/status/1745277354379796656#m,"2023 Annual #Best of Lists #3: 52 Interesting Things Learned, Oddest #Guinness World Records, Best #Podcasts & TV Shows, Best #Travel #Photos - #Travel Blogger Buzz https://buff.ly/47psuZI TBB on!","Jan 11, 2024 · 2:52 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
6,https://twitter.com/eVisitorGuide/status/1745252691364721147#m,"Make @LizziesIrishPub part of your #Chicago plans! Cozy #Irish #pub with great food, plenty of #drink and awesome river-side warm-weather patio. Near @TheMagMile & #navypier. https://evisitorguide.com/chicago/brochures/lizzie-mcneills-irish-pub-chicago-riverwalk.php #Chicago #travel #magmile #sightseeing #dining #nightlife #guinness @NavyPier","Jan 11, 2024 · 1:14 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
7,https://twitter.com/sputnik_afrique/status/1745053372908978517#m,"#FailatuAbdulRazak a battu le #record #Guinness de la #cuisine non-stop 🎉 Elle a passé 10 jours d’affilée aux fourneaux, n’ayant droit qu’à une pause de 5 minutes par heure.","Jan 10, 2024 · 12:02 PM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 9}",Neutral
8,https://twitter.com/sputnik_afrique/status/1745166618853060651#m,"#FailatuAbdulRazak a battu le #record #Guinness de la #cuisine non-stop 🎉 Elle a passé 10 jours d’affilée aux fourneaux, n’ayant droit qu’à une pause de 5 minutes par heure.","Jan 10, 2024 · 7:32 PM UTC","{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 6}",Neutral
9,https://twitter.com/A_Little_Luney/status/1745224617294217425#m,"We were watching a movie and this commercial/ad came on. Thomas (7) said “what the heck??!!” and started cracking up. He begged me to find it so he could watch again.  If you haven’t seen it, here you go, enjoy.  #GuinnessBeer #Beer #BeerCommercial #HoldingOutForAZero #Guinness","Jan 10, 2024 · 11:22 PM UTC","{'comments': 4, 'retweets': 1, 'quotes': 0, 'likes': 13}",Positive
10,https://twitter.com/SeefinishPublyk/status/1745227060983783924#m,"Guinness World Records responds to Chef Failas cook-a-thon , Wow this is crazy 😥🥴😟- ReadR App   #guinness #world #records #responds #chef #failas #cookathon #news #breaking https://seefinish.com/readr/?web=https%3A%2F%2Fwww.pulse.com.gh%2Fentertainment%2Fcelebrities%2Fguinness-world-records-responds-to-chef-failas-cook-a-thon%2F1jqjp10&title=Guinness%20World%20Records%20responds%20to%20Chef%20Failas%20cook-a-thon","Jan 10, 2024 · 11:32 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Positive
11,https://twitter.com/momentomori1962/status/1745222234623377870#m,#Guinness 😮 ⁦@GuinnessIreland⁩,"Jan 10, 2024 · 11:13 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
12,https://twitter.com/MichaelEhline/status/1745217925106237648#m,Grab a #Guinness and honor your true English ancestors mate,"Jan 10, 2024 · 10:55 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
