,data,text,stats,links,sentiment
0,https://twitter.com/BrightSidePulse/status/1744850181651365943#m,"We were sitting in front of the car, thinking he would not pass our car that close… (Credits: tiktok: larsbeusker) #animal #animals #wild #wildlife #wildlifephotography #wildanimals #nature #safari #travel #tusk #tusker #elephant #elephants","Jan 9, 2024 · 10:34 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Neutral
1,https://twitter.com/VVani4U/status/1744616638459400282#m,Elephant Attack In Sirsi | ರೈತರ ಗದ್ದೆಗೆ ನುಗ್ಗಿ ಕಾಡಾನೆ ಹಾವಳಿ #elephant #sirsi #tusker #elephantattack #uttarakannada #vijayavani #kannadanews #karnatakanews #karnatakalatestnews #kannadalive https://invidious.perennialte.ch/INA6VQPsMjM,"Jan 9, 2024 · 7:06 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 2}",Negative
2,https://twitter.com/AJaulas/status/1741675029312483376#m,"Querido TUSKER es una tristeza el solo pensar en todo lo que hubieras aportado a tu especie en libertad, pero la soberbia humana te lo negó. Lamentable que tu maravillosa descendencia también sobrevivirá en cautiverio. DEP #Tusker 🙏❤️🐘🕯🕊🌸 #Vigil4Elephants #ElCautiverioMata","Jan 1, 2024 · 4:17 AM UTC","{'comments': 1, 'retweets': 3, 'quotes': 0, 'likes': 8}",Negative
3,https://twitter.com/Onmanorama/status/1741874825592033370#m,Wild tusker hit by Sabarimala pilgrimage bus found dead in Wayanad jungle #wayanad #tusker #latest https://www.onmanorama.com/news/kerala/2024/01/01/wild-tusker-injured-in-accident-found-dead-in-wayanad-jungle.html,"Jan 1, 2024 · 5:31 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Negative
4,https://twitter.com/AJaulas/status/1741675400948797821#m,Querido TUSKER es una tristeza el solo pensar en todo lo que hubieras aportado a tu especie en libertad por la soberbia humana. Una tristeza que tu maravillosa descendencia y también esté en cautiverio. Disfruta tu libertad allá donde te encuentres. DEP #Tusker 🙏❤️🐘🕯🕊🌸,"Jan 1, 2024 · 4:19 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
5,https://twitter.com/yespunjab/status/1740690994302193708#m,Tusker gatecrashes into Haridwar district court #elephant #Haridwar #HaridwarCourt #ElephantBreaksCourtGate #Tusker https://yespunjab.com/?p=911835,"Dec 29, 2023 · 11:07 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
6,https://twitter.com/KannadaPrabha/status/1740602756921196902#m,ಬೆಂಗಳೂರು: ಆನೆ ದಾಳಿಗೆ ವ್ಯಕ್ತಿ ಬಲಿ? Tusker kills man in city outskirts #Tusker #attack #Bengaluru #Died #ಆನೆದಾಳಿ #ವ್ಯಕ್ತಿ #ಸಾವು #ಬೆಂಗಳೂರು #ಒಂಟಿಸಲಗ @XpressBengaluru Read more here: https://bityl.co/NGsN,"Dec 29, 2023 · 5:16 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",Negative
7,https://twitter.com/jyotsnadevi33/status/1739138587759726829#m,Awaiting news for #Tusker's recovery 🙏,"Dec 25, 2023 · 4:18 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
8,https://twitter.com/jacekbea/status/1737490487479591247#m,#tusker ii,"Dec 20, 2023 · 3:09 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
9,https://twitter.com/SportScoreio/status/1737442967495827587#m,🎌Match Started!🎌 💥⚽️💥 Tusker vs Kenya Police FC League: Kenyan Premier League 💥⚽️💥 Watch Now on SportScore: https://sportscore.io/football/match/tusker-kenya-police-fc/jw2r09h2jv3nrz8/ #Tusker #KenyaPoliceFC #KenyanPremierLeague #MoiInternationalSportsCentre,"Dec 20, 2023 · 12:00 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
